0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
The Biggest Winner - How to Win by Losing - Maximize Complete,B000B5XPJM,Jillian Michaels Ripped in 30,B004CRR9IS,Work Out,B0015D20FY,10 Min Sol:fat Blasting Dance,B000GEIRAK,Shrink Your Female Fat Zones,B00009YXET,Ls: 5 Mile Fat Burning Walk,B001F12ISU,Element: Ballet Conditioning,B000WC38BO,"['venture', 'action', 'crime']"," Jillian Michaels is a butt-kicker....so don't be surprised when you get it and realize she's expecting you to work your head off. If you've seen The Biggest Loser, you know what you're getting yourself in for. The workouts make you sweat.  It's fast paced from one position to the next, and there is little time to catch your breath. It is exactly what I was looking for.  You move from working the top half of your body to the bottom half of your body and switching again throughout the workout, so you are not doing the same thing back to back.  you'll do crunches, but they're split up throughout the workout.  it's fantastic!", hard core!
Ben-Hur,B00004CMYG,Ben Hur,B00004CI8G,Ten Commandments,B000CNESNA,El Cid,6302388007,Jesus of Nazareth,B00004R82T,Gandhi,B00008F24E,Lawrence of Arabia,B00004RPD6,"['venture', 'action', 'crime']"," I actually like this movie more than I liked the book.  The story is not a direct translation from page to screen.  The boys are a little older and have settled into their stations in life.  The changes made the screenwriters made to the story only serve to make it more interesting and dramatic, and the cinematographers did a wonderful job, composing every shot like it was the most important of the movie.  William Wyler was a very demanding director, and it is evident.  This is a very tight movie, perfect in almost every way.", One of the greatest movies ever made
Letters From Iwo Jima,B0017XCDN6,Letters from Iwo Jima,B000R3E2WW,Flags of Our Fathers,B000O77QDI,The Pacific,B001VNB54A,War: Ken Burns,B001RQ8E36,War: A Ken Burns Film,B0028O9V8S,The War: A Film by Ken Burns,B007BMIFI4,"['venture', 'action', 'crime']"," Most WWII movies always portray the Allied side of the conflict and we don't really see their point of view. Clint Eastwood has created a masterpiece here and has managed to portray a side of this conflict that really has never been discussed or shown before. I imagine that the violence was probably worse on both sides, but the point of the movie is that it condemns the concept of war. It shows that conflict does affect both sides and even the worst of enemies can have a family or has some type of humanity. I highly recommend seeing this movie to anyone that's a WWII buff or who wants to just see a great movie.", Great movie with a different view from the other side
Personal Training With Jackie: Xtreme Timesaver Training,B003VQO524,Work Out,B0015D20FY,Jillian Michaels Ripped in 30,B004CRR9IS,Shrink Your Female Fat Zones,B00009YXET,Ls: 5 Mile Fat Burning Walk,B001F12ISU,Element: Ballet Conditioning,B000WC38BO,10 Min Sol:fat Blasting Dance,B000GEIRAK,"['venture', 'action', 'crime']"," I can tell that I am out of shape when I did this video! I am not even overweight, I do exercise regularly and I was ready to fall over by the end!!  I am just looking to tone up.  I really love this workout though, because it is interesting, challenging and I know that I will get great results.  It is only 30 minutes which is nice.  I also like how she incorporates cardio into this video.  You can follow the trainer showing the modified version for beginners (which is what I am doing now) where you do not use hand weights and then work your way up.", Very intense - but good!
Billy Elliot,B002NQ08II,Whale Rider,B0063S3FSW,Dear Frankie,B00094AS9A,October Sky,B0026IPAHW,Bella,B001ARPG7Y,8 Mile,B00008GKEX,August Rush,B00133KHCO,"['venture', 'action', 'crime']"," First of all I want to say that the story is very good. I think it's a good story because, boys doesn't do ballet. But also a good film because you can see the history of the mine workers.<br /><br />Also I want to say that the conflict between Billy's father and Billy is a normal situation in a family. The father say: ""You have to do boxing!"" But Billy isn't a good boxer so he wants to join the ballet school in London. There, he learns to be a professional dancer.<br /><br />And of course the end is very interessting. I think it's a well made dvd. It's funny for the whole family.", a funny and nice film
Bryan Kest Power Yoga Complete Collection,B0001WTWYC,Work Out,B008DL4JVO,A.M. and P.M. Yoga,B00007JME6,Element: Ballet Conditioning,B000WC38BO,The Perfect Pregnancy Workout,B000227EMI,Yoga For Beginners,B000H8RVSO,Jillian Michaels Ripped in 30,B004CRR9IS,"['venture', 'action', 'crime']"," I tried 3x to watch this DVD, everytime I had to switch to another DVD.  Besides beging visually unappealing, I cannot get past the way he speaks nor do I care for his verbal ""abbreviations"" of the moves.  Also, the way he touches the students kinda creeps me out.  I did not feel comfortable watching this DVD.  For power yoga, I would recommend Baron Baptiste's sets over this one any day. Baron probably talks just as much, but the DVDs are a little more grounded.  For something more zen, Shiva Rea is just awesome.  Best to those who this DVD works for, but it was not for me.", Not for Me...
Sky Captain and The World of Tomorrow,B000IZA9NK,The Adventures of Tintin,B007BYXSBG,Flyboys,B000LAZE82,Æon Flux,B000GYHVFC,Flash Gordon,B002BRRTUO,King Kong,B00003CXAW,War of the Worlds,6305350221,"['venture', 'action', 'crime']"," Others have discussed the story, so I'm just going to say that for me one of the most interesting things about this film is the story of how it came into being. It's the result of a dream combined with almost inconceivable determination on the part of Kerry Conran, who started work on it using a Mac IIsi in 1994. There were no sets for this movie. It was all blue screen with computer-generated digital backgrounds that were all created on Macs. The complete story is here and it's fun reading.<br /><br />http://www.apple.com/pro/video/conran/<br /><br />The film itself is fun. Not the best I've ever seen, but genuinly entertaining. Definitely worth seeing in my opinion.", A different kind of film
Charmed: The Complete Series,B000R7I43Q,Charmed: Season 1,B0006IUE16,Friends,B000H6SXMY,Angel,B000BWFWFK,Seinfeld: The Complete Series,B000VECAEE,Lost: The Complete Collection,B0036EH3WK,Supernatural: Season 4,B001FB4W0C,"['venture', 'action', 'crime']"," Sadly I won't be purchasing from Amazon in the future due to the fact they don't address the Region area when we purchase from Australia, it is several layers down when you declare that you only provide region 1 product and by then I had the WII games and to send them back would mean the refund after paying delivery and return charges just arn't worth it, I will endeavour to sell them on ebay with full disclosure of the region.  Charmed some dvd players in Australia will play them so they should be alright.  Both were Christmas Presents for my grandchildren so I had to replace the WII games.  Pamela", Disappointment
The Island,B004V2S4WY,Island,B000BSZAFG,Æon Flux,B000GYHVFC,In Time,B004LWZW7O,Children of Men,B000N6TX1I,Control Total,B001L57ZYW,Eagle Eye,B001L2ZSKS,"['venture', 'action', 'crime']"," Some movies fail to surprise, they move around in a clumsy, unaccomplished fashion, but not The Island. Full of surprises and action, capturing Logan's Run, but with a Hitchcock/Serling twist:Its not real. The movie is thoughtful, yet not too brainy. The story gets a 9 out of 10 and the production gets an 8. Ewan McGregor does well, supported by a script that could make Rodney Dangerfield look like Sir Thomas Caine. Steve Buscemi makes an appearance as the voice of reality that highlights his acting ability. Buy this DVD.", Logan's Run 2
Excalibur,630027179X,King Arthur,B0002ZUHD8,Mists of Avalon,B007TBJUW2,Troy,B0002Z0EYK,Beowulf,B00186LNX8,Ladyhawke,B00005UWMX,Legend,B0000634AN,"['venture', 'action', 'crime']"," First of all, I am a historian and I wish to elaborate on this film.  This movie may be, in part, responsible for my vocation.  As a youth, I fell in love with the story and to this day Excalibur remains one of my favorite  movies.  It should be noted though that the Real Arthur was trying to unify  the local tribes for a reason.  He was a Briton, indigenous to the region,  who was fighting the invasion of the Angles and Saxons.  Hopefully, this  enhances you viewing pleasure!  I am anxiously awaiting my DVD!", The Real King Arthur
The Vampire Diaries: Season 1,B002JVWRAE,The Vampire Diaries: Season 2,B003L77GHE,True Blood: Season 1,B007FQDPL8,True Blood: Season 2,B007FQDO14,True Blood: Season 3,B0032JTV6K,True Blood: Season 4,B003UD7J6W,Moonlight: The Complete Series,B004YPED14,"['venture', 'action', 'crime']"," It completely took me by surprise how enjoyable this show is. The first three episodes were kind of dull, but if you manage to get beyond them, you're in for a treat. The Vampire Diaries is compelling, exciting and totally addictive. It is full of strong female characters (Elena, Caroline) and the plotlines never become dull -in fact, they just keep getting better (I am up to season three right now, and loving this show more than ever).<br /><br />It doesn't hurt that all the characters are very attractive (I personally am super jealous of Nina Dobrev's hair).<br /><br />Strongly recommended (just struggle through those first few episodes).", Don't underestimate this show
Hellraiser,6304147058,Nightmare on Elm Street,0780619412,Saw,B000FS9FE4,Evil Dead,B00000G3Q4,Silent Hill,B000GCFO0I,Jeepers Creepers,B000IZXR20,Saw II,B000LC3IDI,"['venture', 'action', 'crime']"," To bad that the magnificent Clive Barker doesn`t direct any movies any more, because only he could have made such a beautiful and disturbing insight into married life and the dysfunctional family and create as a side effect one of the most praised horror villains in history - the Cenobites. Sorry Clive, that you have vanished from the director`s chair and never to return, because you left us alone in our own hell - horror movies that are made only for profit, without any single creative or original idea in it.", Hail to Clive Barker
X-Men: First Class,B004LWZW4C,X-men,B002P8ZOUQ,X-Men - The Last Stand,B000HCO84U,X2,B000I9X6HW,Thor,B005H9B44A,Green Lantern,B004EPZ07K,Fantastic Four,B000BCDV6W,"['venture', 'action', 'crime']"," I wasn't really that interested to see this movie when I first saw the trailers for it, and so I never saw it in theaters.  I ended up getting it for my husband for Valentine's Day because he mentioned it, and we both loved it! I had heard positive reviews, but thought it would be something that only really serious X-Men fans would like (like people who read the comic books and such, because I am a fan of the other X-Men movies and super heroes in general, but I've never been seriously into the X-Men).  I actually think this is the best of all the X-Men films."," Great movie for the ""non-hard core"" X-Men fan"
The Lincoln Lawyer,B004EPYZP8,Law Abiding Citizen,B004F7DSB2,Michael Clayton,B00121QGPY,The Ides of March,B0060ZJ7AI,Runaway Jury,B00014NF02,Gone Baby Gone,B006RXQBR0,Margin Call,B006O2QNOU,"['venture', 'action', 'crime']"," Matthew makes a wonderful lawyer and quite surprising I realy enjoyed the movie. He really does make the show and the cast helped also as fine acting on their behalf. The story line is interesting and anyone who hasn't seen the movie it's a must. It's unusal and entertaining after the first 15 minutes, so tolerate that bit but after that it's a first class movie. The punchline is a marvel and If I say to much it will spoil the show which I don't want to do and ruin it for you, Worth buying and watching  Robyn", Twist and Turns
West Side Story Blu-ray,B0071U3KCW,West Side Story,B00008FEBW,The Band Wagon,B0007YXPKQ,Sound of Music,B0069GZUKY,My Fair Lady,B00011D1OA,Romeo & Juliet,630438551X,Romeo And Juliet,B00008G7UJ,"['venture', 'action', 'crime']"," Whether you like musicals or not, this is an amazing DVD to add to your collection. The picture and sound quality seems really good, and watching the dance scenes in letterbox really add to the film as a whole. Personally the dancing fight scenes are kind of cheesey, but that's why I like it... This movie is guaranteed to put a smile on your face (because you're either loving the music, studying the imagery and visual metaphors, or laughing at the cheesey gang members frolicking around each other in very tight pants).", Another classic to add to your collection...
Joe Bonamassa Live from the Royal Albert Hall,B002L5GQGY,Eagles: Hell Freezes Over,B00004T8BV,Rush: R30,B002QCKONI,Rush in Rio,B0000CG89W,Live At The Royal Albert Hall,B005Y423ZC,Neil Young Heart of Gold,B005898EX8,Pink Floyd - Pulse,6303477259,"['venture', 'action', 'crime']"," Was introduced to Joe Bonamassa's music about five years ago. Have been hooked ever since. He is arguably the greatest guitar player of the current generation of (under 40) guitar players. He explores variations of guitar playing and should be mentioned in the same breath as Eric Johnson as well as Eric Clapton for creativity. Going to see him this March in Fort Worth at Bass Hall. Can't wait to hear the acoustic version ""Woke Up Dreaming"" and then the hard bass rhythm of Ballad of John Henry. This DVD of his concert at Royal Albert Hall should be in your collection.", Joe Bonamassa-One of the greatest ever!
The Wrestler,B001XN9NTC,The Fighter,B004LOJPLQ,Warrior,B0034G4P94,Rocky Balboa,B000N3AXQU,Million Dollar Baby,B003V3FUCQ,Cinderella Man,B000ARTN3S,The Pursuit Of Happyness,B000OW77UU,"['venture', 'crime', 'action']"," Rourke is indeed very good as a aging wrestler disintegrating before<br />our eyes. And there are some beautifully shot sequences.<br /><br />But there's also a lot of hokum, especially in the failed relationship<br />with his daughter, and the stripper played by Marisa Tomei, who is<br />trapped in a similar downward spiral to Rourke, and may be his only<br />hope, simply doesn't have the depth to balance him.<br /><br />For me, a good, solid movie, but not the masterpiece a lot of critics<br />claimed, at least on first viewing.<br /><br />I'm a fan of Aronofsky's, but I found this the least compelling of his<br />films.", I'm in the minority in not being completely blown away...
Underworld,B0000UI2NM,Underworld - Evolution,B000F5GJO6,Underworld: Awakening,B003Y5H5F6,UltraViolet,B001GL4KI0,Blade Trinity,B0007VZB9W,Blade 3: Trinity,B003UOSVEU,Van Helsing,B001JIHGO0,"['venture', 'action', 'crime']"," First of all this movie tackled a very hard plot about a war that has existed between vampires and lycans(werewolves) for many years.  I thought they did a really good job considering the unbelievable plot that they tackled.  The character development in the movie was fair but it seemed as if at times the acting was a little bit to melodramatic.  The movie focused mainly on the vampire culture and did not focus much on the werewolves.  The graphics were excellent and the werewolves looked great.  I recommend that you rent this before you buy it, it is a great DVD to watch but you may want to review it yourself before purchasing."," Good, But Not Great"
True Romance UMD for,B008N23FRW,True Romance,B00004SPVE,Pulp Fiction,B0017H5EAQ,Reservoir Dogs -,B000068U01,Heat,B002AH3WSS,Man On Fire,B001JZ7HVU,Arrebato,B00005JXZE,"['venture', 'action', 'crime']"," This is just an excellent movie.  Can't say how much I love it.  The movie itself is a 5 star affair.  The DVD version was a bit dissapointing.  Only one thing makes it a 4 star.  The soundtrack is not in Dolby Digital 5.1.  It is only 2.0.  Those of you who have Pro Logic recievers or tv's will never notice this.  Those expecting the killer sound that 5.0 brings will be dissapointed however.<p>Also, make sure you get the director's cut which is not rated.  Very different from the R version.  Totally different ending.", A superb movie!!  Except...
Reign of Fire,B0008JFMFG,Reign Of Fire,B004LGE2LC,Outlander,B001EAWMGA,Godzilla,0800141326,Godzilla 5pk,6304911793,"10,000 B.C.",B001BKV9TE,Beowulf & Grendel,B000GIXEIG,"['venture', 'action', 'crime']"," I have to admit, I thought that this movie would ....<br />I thought it would just be another monster movie (with dragons).<br />I was surprised by the fact that it was actually good!<br />The plot is actually decent, the acting is good (bale and Mcconaughey are great)and direction and special effects are top notch.<br />  Bale and McConaughey are in top physical shape,but look much grungier than their usual ""pretty boy"" images.<br />DVD is fun with cool animated windows, and decent bonus features.<br />over all a great movie to own."," Great DVD, Great Movie!"
The Girl with the Dragon Tattoo,B003T6LIBM,Girl With The Dragon Tattoo,B005WGNKSG,The Girl Who Played With Fire,B005WGOYEU,Dragon Tattoo Trilogy,B0050C02EW,Let the Right One In,B001V7YJMG,Let Me In,B003EYVXUU,Tinker Tailor Soldier Spy,B0059XTTW8,"['venture', 'action', 'crime']"," I hate spoilers more than anything, so rest assured.  This movie is about a victim who refuses to be a victim.  The way the story is told is extremely graphic, so know that before you watch it.  If you aren't squeamish about the presentation, the series is amazing.  Since the Swedish series is finished, you can see them all without the wait.  Compares favorably to the American version, which I have seen as well as reading the books.  I like her, what can I say?  I could only hope to be so strong."," Serious content, serious characters"
J. Edgar,B006T5G73Y,Iron Lady,B0059XTUXQ,W.,B001OKUREO,The Aviator,B000VZGK3K,Milk,B001V97Q4M,"Good Night, and Good Luck.",B000EBIOVC,Capote,B000ZD1M9K,"['venture', 'crime', 'action']"," I'm rarely sorry that I watched a Clint Eastwood film, so this was a rare exception. And, if it hadn't had his name listed as director, I never EVER would have guessed. I guess we are all entitled to a bad day every once in a while, but this movie was ridiculously bad, and since I can't blame the actors, I have to blame Clint. It was truly like pulling hen's teeth to follow the narrative between the FBI story and the possibly homosexual lifestyle, both of which were uninteresting. I truly am sorry to have to give it such a bad review, but it just sucked as bad as any film I've ever seen.", Disappointing
Breaking Bad: Season 4,B0058YPG2K,Breaking Bad: Season Four,B0058YPG1G,Breaking Bad: Season 1,B001DJLCRC,Breaking Bad: Season 5,B0060MYL3E,Dexter - Season 4,B003ULP9OS,Dexter: The Fourth Season,B003ZW3C3M,Dexter - Season 3,B0036QV8JW,"['venture', 'action', 'crime']"," As with all of the Breaking Bad blurays picture quality is top notch with vibrant colors for all scenes and (intentional, though still highly defined), grainy effects for the more dramatic moments.<br /><br />Of all the season sets for Breaking Bad this one stands out the most due to having the biggest variety of extras spanning from deleted and extended scenes, gag reels and special featurettes.<br /><br />The most notable featurette gives an inside look at the making of Gus Fring's final scene of the season and is definetely worth a look", Breaking Great!
Friday the 13th,B00004CJ2O,Friday The 13th,B00001MXXL,Nightmare on Elm Street,0780619412,Halloween,6305171769,Freddy Vs. Jason,B0000VCZN4,Halloween H2O,6305531374,Halloween II,B009CG8YJW,"['venture', 'action', 'horror']"," &quot;Friday the 13th&quot; is a typical slasher from the early 80's, only it's better than most. Despite critics, like Roger Ebert and Lenorn Maltin giving it ridicuosly low ratings, it really isn't as bad as they claim. In fact, the scripting, at least, is every bit as good as that of &quot;Halloween&quot;'s, only it isn't as well made and certainly not as original. Almost everyone knows the plot-line, even those who have never seen it, so I won't bother on outlining it. And if you are familiar with it, then you know what just about every &quot;Friday the 13th&quot; is about.", Don't listen to the critics!
Desperate Housewives - The Complete First Season,B00079FUI6,The O.C.: Season 1,B0002V7TZQ,Weeds: Season 1,B000O5B4DS,Veronica Mars: Season 1,B000A59PMO,Everwood: Season 1,B004GJYRFA,Gilmore Girls: Season 6,B000G1R4SY,Castle: Season 1,B001XRLWPQ,"['venture', 'crime', 'action']"," I had a blast lounging around the house in my PJ's watching this DVD series. I had missed a lot of episodes and this filled in the gaps. The show is hilarious, witty, intense and dramatic all at the same time!<br /><br />The commentaries by Marc Cherry are excellent as are the other bonus features. Watching the DVD set gave me a new appreciation for the quality of the show's writing. Plus it's just plain fun because once one episode ends you can just pop in another!<br /><br />This is a great investment even if you want to watch the DVD's once and then resell them.", Fun Lounging around the House Entertainment
The Office: Season 2,B000GETTKM,The Office: Season Three,B000SINT4S,The Office: Season 1,B0009VBTP0,The Office: Season 4,B001AEF6AY,Arrested Development: Season 1,B0002PYS7Y,Arrested Development: Season 2,B000A9QKRI,Arrested Development: Season 3,B000EXDS7K,"['venture', 'action', 'crime']"," Maybe it's because I work in an office that I can sort of relate to this show.  Or could be the brilliant writing and acting.  I think anyone in the work force can have a good laugh.  We all know a Dwight...and I have worked for some bosses just as arrogant as Michael Scott.<br /><br />My first few years working at a corporate firm I remember how much fun it was and how I loved the people I worked with.  The office sort of brings back the charm of those early days in the ""real world""<br /><br />You will laugh and if you don't...you obviously do not have a sense of humor.  By the way...I actually DO work with some one like Angela.", Laughed till my sides hurt.
Airplane,6300213986,Airplane!,B00004RLV8,Kung Pow! Enter the Fist,B000067JFL,Blazing Saddles,630281622X,Dumb & Dumber,6303454089,Young Frankenstein,B001DDBD0O,Dumb and Dumber,B000065J66,"['venture', 'action', 'crime']"," I saw this DVD for $8.88 at Wal-Mart. I heaed a lot of things about it, and decided to buy it! It was a great choice!<br /><br /> Airplane! is about a war veteren, Ted Striker, boarding an airplane, finding his lost love. Until people get sick and they must land. Since the captain's also sick, it's up to Striker to land it!<br /><br /> Doesn't seem like much? Well, while the plot isn't that deep, there's so many funny jokes and gags that it's not stop funny! Great dialogue, tons of humor. A must-see!", One of the finest comideies ever!!!
Jillian Michaels: 6 Week Six-Pack,B0042AGNB4,Jillian Michaels Ripped in 30,B004CRR9IS,Work Out,B0015D20FY,Ls: 5 Mile Fat Burning Walk,B001F12ISU,Shrink Your Female Fat Zones,B00009YXET,10 Min Sol:fat Blasting Dance,B000GEIRAK,Element: Ballet Conditioning,B000WC38BO,"['venture', 'action', 'crime']", I really enjoyed this video once I could actualy get through the whole entire thing. I think it is a great workout and I think it will actualy work for someone who is not very over weight if you want a 6 pack. Also you have to keep in mind that you should be eating healthy at the same time. If you have not worked out in quit awhile this is a bit tuff to get into at first. After a few trys I was able to kick myself into going through the whole video. I really enjoy her motivation and she keeps it very positive and fun., I really enjoyed this video once i got into it.
The Hangover - UNRATED,B001UV4XEM,Hangover,B0030VGY5G,Bridesmaids,B00466HN7M,Due Date,B004I9SJH0,Superbad,B000WZEZGS,Step Brothers,B001GF8WPS,Hot Tub Time Machine,B003OEKOFK,"['venture', 'action', 'crime']"," couldn't wait to get my hands on this movie. though used, this dvd was very good condition and the price was unbeatable (so i thought). watched it about 4 times and still no issues with the dvd freezing up. however the dvd case was crushed when i received it (hence the ""so I thought""). i'm amazed the dvd wasn't cracked. the package that the case was in very tightfitted and provided no protection. wasn't worth it financially to return the item so i taped up the case instead. for me a great movie - made me forget about the mangled package.", Fast delivery - poor packaging
Elizabeth,B00007AJF9,Elizabeth Double Feature,B004GXKBDI,Elizabeth: The Golden Age,B0011MRKHW,The Other Boleyn Girl,B0018STVHQ,The Young Victoria,B001C4AFOY,The Tudors: Season 2,B001EO748M,The Queen,B004SIP9B0,"['venture', 'action', 'crime']"," I purchased this DVD because I thought it was interesting. And I'm glad I did. Cate Blanchett's performance was outstanding! She is a marvelous actress! In my opinion, she should have won the Academy Award as best actress. Unfortunately, however, since the Oscars are nothing more than a popularity contest, and because Gwyneth Paltrow was so popular at that time, she won. Anyway, great movie, with a magnificent Cate Blanchett. I look forward to seeing the sequel ""Elizabeth, the Golden Age"" coming out this fall.", Cate Blanchett-the real Oscar winning actress.
